datetime,symbol,_id,timestamp,exchange,inserted_datetime,interval,longAccount,long_OI,long_OI_change,long_OI_pct_change,sumOpenInterest,sumOpenInterestValue,sum_OI_change,sum_OI_pct_change,open,high,low,close,volume,price_change,price_pct_change
2024-08-08 00:00:00,ILVUSDT,66b4b56c74a4db6d2d3c6683,1723075200000,Binance,2024-08-09 00:37:23,15m,0.6384,36170.65872,247.19576,0.0068811785,56658.3,2258966.421,157.1,0.0027804719,39.88,39.98,39.83,39.9,645.1,0.019999999999996,0.0005015045135405
2024-08-08 00:15:00,ILVUSDT,66b4f47a74a4db6d2d435309,1723076100000,Binance,2024-08-09 00:37:23,15m,0.6326,36192.37446,21.71574,0.0006003689,57212.1,2285623.395,553.8,0.0097743843,39.95,40.14,39.95,40.14,171.8,0.1899999999999977,0.0047559449311638
2024-08-08 00:30:00,ILVUSDT,66b4f47a74a4db6d2d43530b,1723077000000,Binance,2024-08-09 00:37:23,15m,0.6335,36312.41005,120.03559,0.0033165989,57320.3,2271839.23363703,108.2,0.0018912083,39.64,39.81,39.62,39.79,97.0,0.1499999999999985,0.0037840565085771
2024-08-08 00:45:00,ILVUSDT,66b4f47a74a4db6d2d43530d,1723077900000,Binance,2024-08-09 00:37:23,15m,0.6333,36444.45177,132.04172,0.0036362698,57546.9,2284898.3576099,226.6,0.0039532243,39.71,39.72,39.6,39.65,106.5,-0.0600000000000022,-0.0015109544195417
2024-08-08 01:00:00,ILVUSDT,66b4c4ce74a4db6d2d3e1e76,1723078800000,Binance,2024-08-09 00:37:23,15m,0.6326,36494.25118,49.79941,0.001366447,57689.3,2320214.08108412,142.4,0.0024745034,40.21,40.26,40.16,40.16,269.6,-0.0500000000000042,-0.0012434717731908
2024-08-08 01:15:00,ILVUSDT,66b4f47a74a4db6d2d435310,1723079700000,Binance,2024-08-09 00:37:23,15m,0.6345,36631.8423,137.59112,0.0037702135,57733.4,2369956.07,44.1,0.0007644399,41.04,41.06,40.86,41.0,103.3,-0.0399999999999991,-0.0009746588693956
2024-08-08 01:30:00,ILVUSDT,66b4f47a74a4db6d2d435313,1723080600000,Binance,2024-08-09 00:37:23,15m,0.6358,36634.41452,2.57222,7.02181e-05,57619.4,2341076.222,-114.0,-0.0019745936,40.63,40.74,40.6,40.71,61.9,0.0799999999999983,0.0019689884321929
2024-08-08 01:45:00,ILVUSDT,66b4f47a74a4db6d2d435315,1723081500000,Binance,2024-08-09 00:37:23,15m,0.631,36432.1101,-202.30442,-0.0055222507,57737.1,2405401.38498385,117.7,0.0020427148,41.71,41.87,41.55,41.74,536.0,0.0300000000000011,0.0007192519779429
2024-08-08 02:00:00,ILVUSDT,66b4c4ce74a4db6d2d3e1e82,1723082400000,Binance,2024-08-09 00:37:23,15m,0.6338,36888.80788,456.69778,0.0125355841,58202.6,2435778.81,465.5,0.008062407,41.82,42.04,41.81,42.02,268.6,0.2000000000000028,0.0047824007651841
2024-08-08 02:15:00,ILVUSDT,66b4f47a74a4db6d2d435321,1723083300000,Binance,2024-08-09 00:37:23,15m,0.6444,37249.41312,360.60524,0.0097754647,57804.8,2429100.77559706,-397.8,-0.0068347462,42.02,42.15,41.98,42.15,192.9,0.1299999999999954,0.0030937648738694
2024-08-08 02:30:00,ILVUSDT,66b4f47a74a4db6d2d435323,1723084200000,Binance,2024-08-09 00:37:23,15m,0.6391,36783.65614,-465.75698,-0.0125037401,57555.4,2431552.50461427,-249.4,-0.0043145206,42.25,42.25,42.05,42.09,56.0,-0.1599999999999966,-0.0037869822485206
2024-08-08 02:45:00,ILVUSDT,66b4f47b74a4db6d2d435325,1723085100000,Binance,2024-08-09 00:37:23,15m,0.6377,36729.92575,-53.73039,-0.0014607137,57597.5,2435702.86992503,42.1,0.0007314692,42.3,42.3,42.19,42.22,73.2,-0.0799999999999983,-0.0018912529550827
2024-08-08 03:00:00,ILVUSDT,66b4c4ce74a4db6d2d3e1e84,1723086000000,Binance,2024-08-09 00:37:23,15m,0.6403,36858.61338,128.68763,0.003503618,57564.6,2423050.07853835,-32.9,-0.0005712053,42.11,42.16,42.09,42.14,148.3,0.0300000000000011,0.0007124198527665
2024-08-08 03:15:00,ILVUSDT,66b4f47b74a4db6d2d435329,1723086900000,Binance,2024-08-09 00:37:23,15m,0.6372,36689.91228,-168.7011,-0.004576979,57579.9,2426817.19970134,15.3,0.0002657883,42.16,42.16,42.07,42.09,19.5,-0.0699999999999931,-0.001660341555977
2024-08-08 03:30:00,ILVUSDT,66b4f47b74a4db6d2d43532b,1723087800000,Binance,2024-08-09 00:37:23,15m,0.6371,36722.18916,32.27688,0.0008797208,57639.6,2432158.7309663,59.7,0.0010368201,42.17,42.18,42.14,42.14,6.7,-0.0300000000000011,-0.0007114062129476
2024-08-08 03:45:00,ILVUSDT,66b4f47b74a4db6d2d43532d,1723088700000,Binance,2024-08-09 00:37:23,15m,0.6381,36810.52137,88.33221,0.0024054179,57687.7,2424037.154,48.1,0.0008344957,42.01,42.01,41.99,41.99,33.1,-0.019999999999996,-0.000476077124494
2024-08-08 04:00:00,ILVUSDT,66b4c4ce74a4db6d2d3e1e88,1723089600000,Binance,2024-08-09 00:37:23,15m,0.6433,36840.05409,29.53272,0.0008022902,57267.3,2379456.315,-420.4,-0.0072875154,41.55,41.67,41.52,41.66,190.9,0.1099999999999994,0.0026474127557159
2024-08-08 04:15:00,ILVUSDT,66b4f47b74a4db6d2d435330,1723090500000,Binance,2024-08-09 00:37:23,15m,0.6405,36633.9099,-206.14419,-0.0055956538,57195.8,2403008.14849706,-71.5,-0.001248531,41.96,42.12,41.96,42.1,51.4,0.1400000000000005,0.0033365109628217
2024-08-08 04:30:00,ILVUSDT,66b4f47b74a4db6d2d435332,1723091400000,Binance,2024-08-09 00:37:23,15m,0.6436,36812.89024,178.98034,0.0048856467,57198.4,2393790.92764818,2.6,4.54579e-05,41.85,41.9,41.82,41.82,71.2,-0.0300000000000011,-0.0007168458781362
2024-08-08 04:45:00,ILVUSDT,66b4f47b74a4db6d2d435335,1723092300000,Binance,2024-08-09 00:37:23,15m,0.6425,36566.92375,-245.96649,-0.0066815316,56913.5,2371585.545,-284.9,-0.0049809086,41.66,41.76,41.64,41.76,56.8,0.1000000000000014,0.0024003840614498
2024-08-08 05:00:00,ILVUSDT,66b4c4cf74a4db6d2d3e1e8d,1723093200000,Binance,2024-08-09 00:37:23,15m,0.6461,36768.77568,201.85193,0.0055200687,56908.8,2365421.72079283,-4.7,-8.25815e-05,41.57,41.68,41.53,41.66,53.8,0.0899999999999963,0.0021650228530189
2024-08-08 05:15:00,ILVUSDT,66b4f47b74a4db6d2d435338,1723094100000,Binance,2024-08-09 00:37:23,15m,0.643,36715.4929,-53.28278,-0.0014491312,57100.3,2385650.534,191.5,0.0033650332,41.79,41.85,41.79,41.82,134.5,0.0300000000000011,0.0007178750897344
2024-08-08 05:30:00,ILVUSDT,66b4f47b74a4db6d2d435343,1723095000000,Binance,2024-08-09 00:37:23,15m,0.6433,36806.4095,90.9166,0.0024762462,57215.0,2398224.77018965,114.7,0.002008746,41.91,41.99,41.9,41.99,40.1,0.0800000000000054,0.0019088523025532
