,timestamp,sumOpenInterest,sumOpenInterestValue
18169,2024-08-20 21:35:00,4326680.00000000,619530386.03606520
18170,2024-08-20 21:40:00,4324312.00000000,619289045.83200000
18171,2024-08-20 21:45:00,4323613.00000000,619647697.21946180
18172,2024-08-20 21:50:00,4321972.00000000,618905679.39238630
18173,2024-08-20 21:55:00,4323001.00000000,618737363.11814480
18174,2024-08-20 22:00:00,4328351.00000000,619088371.88100000
18175,2024-08-20 22:05:00,4332500.00000000,619963420.00000000
18176,2024-08-20 22:10:00,4343195.00000000,622453933.02113820
18177,2024-08-20 22:15:00,4350221.00000000,623151777.50752320
18178,2024-08-20 22:20:00,4354928.00000000,624162132.02625040
18179,2024-08-20 22:25:00,4358157.00000000,624423660.48900000
18180,2024-08-20 22:30:00,4360379.00000000,624137899.40843980
18181,2024-08-20 22:35:00,4361569.00000000,624388680.38405930
18182,2024-08-20 22:40:00,4365411.00000000,624476408.96100000
18183,2024-08-20 22:45:00,4367606.00000000,625022145.75188060
18184,2024-08-20 22:50:00,4368179.00000000,625649909.99100000
18185,2024-08-20 22:55:00,4369662.00000000,625141324.36800000
18186,2024-08-20 23:00:00,4372232.00000000,625994316.60000000
18187,2024-08-20 23:05:00,4372293.00000000,625976816.51700000
18188,2024-08-20 23:10:00,4373388.00000000,626098599.46800000
18189,2024-08-20 23:15:00,4373152.00000000,626248485.85600000
18190,2024-08-20 23:20:00,4372017.00000000,625870866.45147480
18191,2024-08-20 23:25:00,4371630.00000000,624089527.17000000
18192,2024-08-20 23:30:00,4368426.00000000,622986961.88070000
18193,2024-08-20 23:35:00,4368400.00000000,622789682.80000000
18194,2024-08-20 23:40:00,4369531.00000000,623020838.57300000
18195,2024-08-20 23:45:00,4368128.00000000,622971513.38613760
18196,2024-08-20 23:50:00,4367562.00000000,622649965.29624150
18197,2024-08-20 23:55:00,4372639.00000000,622394668.90723230
18198,2024-08-21 00:00:00,4370656.00000000,621550989.76000000
18199,2024-08-21 00:05:00,4368154.00000000,622715806.90930400
18200,2024-08-21 00:10:00,4367464.00000000,623569040.06400000
18201,2024-08-21 00:15:00,4369567.00000000,623091515.06600000
18202,2024-08-21 00:20:00,4371483.00000000,623233588.34400000
18203,2024-08-21 00:25:00,4372651.00000000,622927861.46000000
18204,2024-08-21 00:30:00,4373803.00000000,622597735.64100000
18205,2024-08-21 00:35:00,4372975.00000000,621159233.87500000
18206,2024-08-21 00:40:00,4375831.00000000,621403008.64800000
18207,2024-08-21 00:45:00,4378323.00000000,621903494.29352020
18208,2024-08-21 00:50:00,4378383.00000000,623230993.32127000
18209,2024-08-21 00:55:00,4373455.00000000,620892544.31163590
18210,2024-08-21 01:00:00,4353927.00000000,617278000.42500000
18211,2024-08-21 01:05:00,4355316.00000000,617657849.17200000
18212,2024-08-21 01:10:00,4351431.00000000,618582025.23600000
18213,2024-08-21 01:15:00,4348011.00000000,618213507.15445550
18214,2024-08-21 01:20:00,4349851.00000000,618848951.91900000
18215,2024-08-21 01:25:00,4362053.00000000,619646795.37871990
18216,2024-08-21 01:30:00,4353481.00000000,618951807.69400000
18217,2024-08-21 01:35:00,4362144.00000000,619174144.73118630
18218,2024-08-21 01:40:00,4371206.00000000,620705879.65668980
18219,2024-08-21 01:45:00,4372600.00000000,621134671.23878200
18220,2024-08-21 01:50:00,4374728.00000000,620938766.04960380
18221,2024-08-21 01:55:00,4371420.00000000,622955969.90531100
18222,2024-08-21 02:00:00,4370768.00000000,622978839.81599990
18223,2024-08-21 02:05:00,4372112.00000000,623878521.84000000
18224,2024-08-21 02:10:00,4378245.00000000,624223902.63000000
18225,2024-08-21 02:15:00,4378480.00000000,624189893.98548800
18226,2024-08-21 02:20:00,4383513.00000000,624589255.58624600
18227,2024-08-21 02:25:00,4384807.00000000,624962156.90300000
18228,2024-08-21 02:30:00,4381669.00000000,623932138.92400000
18229,2024-08-21 02:35:00,4380669.00000000,625076575.26300240
18230,2024-08-21 02:40:00,4382814.00000000,624835877.91000000
18231,2024-08-21 02:45:00,4381284.00000000,625356971.14466290
18232,2024-08-21 02:50:00,4383240.00000000,626671822.80000000
18233,2024-08-21 02:55:00,4381274.00000000,625773011.83565160
18234,2024-08-21 03:00:00,4384534.00000000,625863087.79090250
18235,2024-08-21 03:05:00,4383923.00000000,625327160.64300000
18236,2024-08-21 03:10:00,4385089.00000000,625563798.67844070
18237,2024-08-21 03:15:00,4383753.00000000,625964858.37600000
18238,2024-08-21 03:20:00,4384215.00000000,625159171.10487060
18239,2024-08-20 05:05:00,4329298.00000000,636307232.14600000
18240,2024-08-20 05:10:00,4329981.00000000,637390523.12400000
18241,2024-08-20 05:15:00,4336435.00000000,639333932.66766870
18242,2024-08-20 05:20:00,4332896.00000000,643019097.98400000
18243,2024-08-20 05:25:00,4342588.00000000,644579059.49253440
18244,2024-08-20 05:30:00,4342010.00000000,641479873.38000000
18245,2024-08-20 05:35:00,4338291.00000000,640726536.08100000
18246,2024-08-20 05:40:00,4331167.00000000,637656061.57500000
18247,2024-08-20 05:45:00,4328395.00000000,637582899.92649480
18248,2024-08-20 05:50:00,4331281.00000000,636633337.78500000
18249,2024-08-20 05:55:00,4323985.00000000,636221722.15899550
18250,2024-08-20 06:00:00,4320214.00000000,637051137.05137670
18251,2024-08-20 06:05:00,4317892.00000000,634683610.28565060
18252,2024-08-20 06:10:00,4315870.00000000,633656033.40000000
18253,2024-08-20 06:15:00,4312921.00000000,633762301.33345060
18254,2024-08-20 06:20:00,4313642.00000000,633635187.02200000
18255,2024-08-20 06:25:00,4311841.00000000,634694371.51800000
18256,2024-08-20 06:30:00,4305206.00000000,634163717.57800380
18257,2024-08-20 06:35:00,4312900.00000000,635635202.00000000
18258,2024-08-20 06:40:00,4311348.00000000,634479528.42000000
18259,2024-08-20 06:45:00,4310238.00000000,633725672.66400000
18260,2024-08-20 06:50:00,4309718.00000000,633714971.16984570
18261,2024-08-20 06:55:00,4304504.00000000,632643029.07818840
18262,2024-08-20 07:00:00,4303145.00000000,632351460.89500000
18263,2024-08-20 07:05:00,4303529.00000000,632842546.50800000
18264,2024-08-20 07:10:00,4302640.00000000,632237140.99965600
18265,2024-08-20 07:15:00,4309104.00000000,633166814.44800000
18266,2024-08-20 07:20:00,4311768.00000000,633874495.93648540
18267,2024-08-20 07:25:00,4315096.00000000,634322699.52766350
18268,2024-08-20 07:30:00,4315532.00000000,634942762.39557340
18269,2024-08-20 07:35:00,4316123.00000000,634513668.27450130
18270,2024-08-20 07:40:00,4315398.00000000,634350559.80600000
18271,2024-08-20 07:45:00,4313498.00000000,633957734.62685480
18272,2024-08-20 07:50:00,4311800.00000000,634132114.20000000
18273,2024-08-20 07:55:00,4314308.00000000,635237903.05811790
18274,2024-08-20 08:00:00,4315448.00000000,636084088.85600000
18275,2024-08-20 08:05:00,4315361.00000000,636412188.76133020
18276,2024-08-20 08:10:00,4312479.00000000,635314406.28000000
18277,2024-08-20 08:15:00,4308250.00000000,633655203.09893750
18278,2024-08-20 08:20:00,4292809.00000000,630746900.24968360
18279,2024-08-20 08:25:00,4280112.00000000,628277640.48000000
18280,2024-08-20 08:30:00,4277374.00000000,627140021.13200000
18281,2024-08-20 08:35:00,4276470.00000000,625945226.40493800
18282,2024-08-20 08:40:00,4278853.00000000,626548165.93700000
18283,2024-08-20 08:45:00,4283032.00000000,626823598.11779340
18284,2024-08-20 08:50:00,4281074.00000000,626560953.24980220
18285,2024-08-20 08:55:00,4279320.00000000,626104950.48160920
18286,2024-08-20 09:00:00,4259936.00000000,622605479.04853500
18287,2024-08-20 09:05:00,4260471.00000000,623630703.09600000
18288,2024-08-20 09:10:00,4261670.00000000,624005583.46012810
18289,2024-08-20 09:15:00,4269323.00000000,626350662.17217800
18290,2024-08-20 09:20:00,4266899.00000000,625164706.98500000
18291,2024-08-20 09:25:00,4267767.00000000,625505270.35500000
18292,2024-08-20 09:30:00,4268625.00000000,626100571.87500000
18293,2024-08-20 09:35:00,4270713.00000000,625638100.93500000
18294,2024-08-20 09:40:00,4272911.00000000,625659272.90103140
18295,2024-08-20 09:45:00,4273077.00000000,625543815.45349140
18296,2024-08-20 09:50:00,4276632.00000000,626080116.77119240
18297,2024-08-20 09:55:00,4276887.00000000,625681672.46841180
18298,2024-08-20 10:00:00,4277974.00000000,626787159.88745990
18299,2024-08-20 10:05:00,4279679.00000000,626794213.10563520
18300,2024-08-20 10:10:00,4276053.00000000,625034943.06300000
18301,2024-08-20 10:15:00,4277878.00000000,624989420.04400000
18302,2024-08-20 10:20:00,4286322.00000000,626343088.57200000
18303,2024-08-20 10:25:00,4288246.00000000,627766920.21972850
18304,2024-08-20 10:30:00,4289708.00000000,628086176.23600000
18305,2024-08-20 10:35:00,4289956.00000000,627676332.22800000
18306,2024-08-20 10:40:00,4289031.00000000,627516494.40128270
18307,2024-08-20 10:45:00,4287815.00000000,628029553.39133170
18308,2024-08-20 10:50:00,4289103.00000000,627377319.95927620
18309,2024-08-20 10:55:00,4288840.00000000,626719611.52000000
18310,2024-08-20 11:00:00,4292296.00000000,627194486.38088080
18311,2024-08-20 11:05:00,4293709.00000000,627834717.39800000
18312,2024-08-20 11:10:00,4306347.00000000,628116273.14155710
18313,2024-08-20 11:15:00,4306654.00000000,628215925.63400000
18314,2024-08-20 11:20:00,4310657.00000000,629498173.68100000
18315,2024-08-20 11:25:00,4305392.00000000,628088192.37723100
18316,2024-08-20 11:30:00,4306675.00000000,629377484.50000000
18317,2024-08-20 11:35:00,4306848.00000000,629650715.01722200
18318,2024-08-20 11:40:00,4341213.00000000,632075442.15484420
18319,2024-08-20 11:45:00,4332843.00000000,629245790.36100000
18320,2024-08-20 11:50:00,4335529.00000000,629345389.64000000
18321,2024-08-20 11:55:00,4329587.00000000,628354901.65771000
18322,2024-08-20 12:00:00,4332184.00000000,629604965.08800000
18323,2024-08-20 12:05:00,4328711.00000000,630840221.26495490
18324,2024-08-20 12:10:00,4329070.00000000,631224927.74468520
18325,2024-08-20 12:15:00,4329234.00000000,632059505.53200000
18326,2024-08-20 12:20:00,4335465.00000000,631970136.30644700
18327,2024-08-20 12:25:00,4332759.00000000,631864546.15406760
18328,2024-08-20 12:30:00,4334816.00000000,632111538.75200000
18329,2024-08-20 12:35:00,4335306.00000000,632249539.47622040
18330,2024-08-20 12:40:00,4338302.00000000,632524431.60000000
18331,2024-08-20 12:45:00,4334193.00000000,632306616.10442960
18332,2024-08-20 12:50:00,4334942.00000000,632359664.25000000
18333,2024-08-20 12:55:00,4337857.00000000,632724159.87700000
18334,2024-08-20 13:00:00,4340346.00000000,633048144.79200000
18335,2024-08-20 13:05:00,4336718.00000000,630909172.83339760
18336,2024-08-20 13:10:00,4343712.00000000,631102260.19200000
18337,2024-08-20 13:15:00,4342486.00000000,630447745.29843120
18338,2024-08-20 13:20:00,4339285.00000000,629552146.37000000
18339,2024-08-20 13:25:00,4338050.00000000,631186275.00000000
18340,2024-08-20 13:30:00,4335251.00000000,630861390.26900000
18341,2024-08-20 13:35:00,4328794.00000000,628822005.61718510
18342,2024-08-20 13:40:00,4334254.00000000,629084282.75376280
18343,2024-08-20 13:45:00,4329450.00000000,630610369.20000000
18344,2024-08-20 13:50:00,4330729.00000000,631437611.11600000
18345,2024-08-20 13:55:00,4331323.00000000,631714219.58195730
18346,2024-08-20 14:00:00,4334025.00000000,632776318.05000000
18347,2024-08-20 14:05:00,4340346.00000000,632584419.40413510
18348,2024-08-20 14:10:00,4345441.00000000,631653170.61568770
18349,2024-08-20 14:15:00,4373632.00000000,632895165.82400000
18350,2024-08-20 14:20:00,4352612.00000000,626746552.00146000
18351,2024-08-20 14:25:00,4329239.00000000,622272288.33255570
18352,2024-08-20 14:30:00,4324370.00000000,621377374.04000000
18353,2024-08-20 14:35:00,4334407.00000000,621714336.85900000
18354,2024-08-20 14:40:00,4352982.00000000,622881253.32600000
18355,2024-08-20 14:45:00,4354002.00000000,623177597.02606070
18356,2024-08-20 14:50:00,4372658.00000000,625415082.93080370
18357,2024-08-20 14:55:00,4385842.00000000,626004386.18600000
18358,2024-08-20 15:00:00,4393551.00000000,625960355.87114420
18359,2024-08-20 15:05:00,4441004.00000000,629461445.29918000
18360,2024-08-20 15:10:00,4450139.00000000,630332883.36012800
18361,2024-08-20 15:15:00,4484648.00000000,636253758.19802210
18362,2024-08-20 15:20:00,4499176.00000000,641258556.92800000
18363,2024-08-20 15:25:00,4512916.00000000,642779144.43714500
18364,2024-08-20 15:30:00,4529927.00000000,642774863.63064830
18365,2024-08-20 15:35:00,4534373.00000000,644447762.62500000
18366,2024-08-20 15:40:00,4539486.00000000,646055354.43730010
18367,2024-08-20 15:45:00,4543781.00000000,645921188.05500000
18368,2024-08-20 15:50:00,4533504.00000000,643988776.70400000
18369,2024-08-20 15:55:00,4538448.00000000,644638954.17963890
