,symbol,rate,time
141,BTCUSDT,0.00060847,2020-02-17 00:00:00
142,BTCUSDT,0.00043179,2020-02-17 08:00:00
143,BTCUSDT,0.00060960,2020-02-17 16:00:00
144,BTCUSDT,0.00091076,2020-02-18 00:00:00
145,BTCUSDT,0.00026967,2020-02-18 08:00:00
146,BTCUSDT,0.00013952,2020-02-18 16:00:00
147,BTCUSDT,0.00029662,2020-02-19 00:00:00
148,BTCUSDT,0.00046396,2020-02-19 08:00:00
149,BTCUSDT,0.00038487,2020-02-19 16:00:00
150,BTCUSDT,0.00040757,2020-02-20 00:00:00
151,BTCUSDT,0.00010000,2020-02-20 08:00:00
152,BTCUSDT,0.00010000,2020-02-20 16:00:00
153,BTCUSDT,0.00010000,2020-02-21 00:00:00
154,BTCUSDT,0.00010000,2020-02-21 08:00:00
155,BTCUSDT,0.00010000,2020-02-21 16:00:00
156,BTCUSDT,0.00010000,2020-02-22 00:00:00
157,BTCUSDT,0.00010000,2020-02-22 08:00:00
158,BTCUSDT,0.00010000,2020-02-22 16:00:00
159,BTCUSDT,0.00012243,2020-02-23 00:00:00
160,BTCUSDT,0.00029663,2020-02-23 08:00:00
161,BTCUSDT,0.00039010,2020-02-23 16:00:00
162,BTCUSDT,0.00065308,2020-02-24 00:00:00
163,BTCUSDT,0.00048774,2020-02-24 08:00:00
164,BTCUSDT,0.00014587,2020-02-24 16:00:00
165,BTCUSDT,0.00010000,2020-02-25 00:00:00
166,BTCUSDT,0.00032389,2020-02-25 08:00:00
167,BTCUSDT,0.00027363,2020-02-25 16:00:00
168,BTCUSDT,0.00046949,2020-02-26 00:00:00
169,BTCUSDT,0.00036170,2020-02-26 08:00:00
170,BTCUSDT,0.00050630,2020-02-26 16:00:00
171,BTCUSDT,0.00038660,2020-02-27 00:00:00
172,BTCUSDT,0.00017363,2020-02-27 08:00:00
173,BTCUSDT,0.00010000,2020-02-27 16:00:00
174,BTCUSDT,0.00010000,2020-02-28 00:00:00
