,capacity,turnover,open,high,low,close,change,transaction,trend,MA5
2023-03-29,17620195,9329137251,533.0,533.0,525.0,530.0,5.0,15653,5,532.6
2023-03-30,20380650,10894446851,536.0,537.0,531.0,535.0,5.0,18171,6,532.0
2023-03-31,24324776,12997575231,538.0,538.0,532.0,533.0,-2.0,15962,6,530.8
2023-04-06,26706549,14130223516,530.0,531.0,526.0,530.0,-3.0,19144,5,530.6
2023-04-07,11114272,5903807797,535.0,535.0,529.0,531.0,1.0,10285,5,531.8
2023-04-10,8203168,4350907176,533.0,533.0,528.0,529.0,-2.0,11698,4,531.6
2023-04-11,23087326,12101146147,522.0,527.0,522.0,524.0,-5.0,24432,3,529.4
2023-04-12,24772925,12870788209,523.0,524.0,517.0,520.0,-4.0,37158,2,526.8
2023-04-13,27501436,14121978133,515.0,517.0,510.0,510.0,-10.0,64834,1,522.8
2023-04-14,21174653,10936462759,516.0,520.0,513.0,516.0,6.0,19962,1,519.8
2023-04-17,17895837,9264789087,519.0,520.0,514.0,520.0,4.0,17444,2,518.0
2023-04-18,15687059,8097905529,518.0,520.0,514.0,515.0,-5.0,17087,1,516.2
2023-04-19,23209923,11881404238,517.0,518.0,509.0,510.0,-5.0,43281,0,514.2
2023-04-20,21002685,10780268259,512.0,516.0,510.0,513.0,3.0,16627,0,514.8
2023-04-21,25440179,13103618008,520.0,520.0,510.0,511.0,-2.0,22738,-1,513.8
2023-04-24,17579661,8903570323,505.0,510.0,504.0,507.0,-4.0,31635,-2,511.2
2023-04-25,40916105,20495640143,504.0,505.0,498.0,498.0,-9.0,92009,-3,507.8
2023-04-26,33174539,16353670134,498.0,498.5,491.0,491.5,-6.5,58580,-4,504.1
2023-04-27,34149043,16816693302,491.0,495.0,489.0,493.5,2.0,47699,-4,500.2
2023-04-28,38812949,19433015577,498.5,502.0,498.0,502.0,8.5,23746,-3,498.4
2023-05-02,17142380,8572554842,500.0,502.0,496.5,501.0,-1.0,18247,-3,497.2
2023-05-03,12694698,6305914905,496.0,498.0,495.0,496.0,-5.0,25658,-4,496.8
2023-05-04,13699933,6818128036,497.0,499.5,496.0,498.0,2.0,14801,-4,498.1
2023-05-05,7898012,3949232374,500.0,502.0,498.5,500.0,2.0,10944,-3,499.4
2023-05-08,11737287,5932968954,509.0,509.0,502.0,504.0,4.0,13709,-2,499.8
2023-05-09,18762778,9530653802,507.0,510.0,505.0,510.0,6.0,17452,-1,501.6
2023-05-10,19385820,9753130414,508.0,508.0,500.0,503.0,-7.0,26320,-2,503.0
2023-05-11,13775130,6894746011,506.0,506.0,498.5,499.0,-4.0,20237,-3,503.2
2023-05-12,20746928,10313384387,496.0,500.0,495.0,496.0,-3.0,27989,-4,502.4
2023-05-15,15548031,7721867966,497.0,499.5,494.5,495.5,-0.5,16896,-5,500.7
2023-05-16,24052785,12131536763,503.0,508.0,500.0,505.0,9.5,22355,-4,499.7
2023-05-17,44352410,22870340267,508.0,521.0,506.0,519.0,14.0,52663,-3,502.9
2023-05-18,46107848,24437734052,533.0,536.0,526.0,530.0,11.0,50359,-2,509.1
2023-05-19,34742592,18476363730,535.0,535.0,529.0,532.0,2.0,39104,-1,516.3
